iter	Passed	Remaining
0	444	177484
1	469	93357
2	491	65019
3	513	50814
4	535	42295
5	557	36586
6	578	32479
7	600	29419
8	622	27036
9	644	25137
10	667	23593
11	690	22318
12	712	21215
13	734	20264
14	757	19438
15	779	18713
16	802	18089
17	827	17557
18	851	17064
19	873	16599
20	897	16196
21	921	15826
22	943	15463
23	964	15117
24	986	14803
25	1011	14555
26	1036	14325
27	1063	14135
28	1092	13977
29	1120	13815
30	1151	13704
31	1179	13566
32	1206	13422
33	1231	13261
34	1256	13098
35	1280	12951
36	1303	12789
37	1328	12654
38	1351	12507
39	1375	12379
40	1398	12247
41	1421	12113
42	1442	11980
43	1465	11858
44	1488	11743
45	1510	11624
46	1533	11515
47	1556	11410
48	1579	11314
49	1603	11221
50	1625	11125
51	1648	11029
52	1670	10935
53	1693	10850
54	1715	10759
55	1738	10677
56	1760	10593
57	1782	10512
58	1804	10430
59	1827	10354
60	1850	10285
61	1872	10209
62	1895	10136
63	1918	10071
64	1940	10002
65	1962	9930
66	1984	9861
67	2005	9791
68	2027	9726
69	2050	9666
70	2073	9607
71	2096	9549
72	2117	9483
73	2138	9421
74	2160	9362
75	2182	9305
76	2204	9247
77	2227	9195
78	2253	9154
79	2276	9107
80	2301	9065
81	2323	9011
82	2345	8957
83	2366	8903
84	2388	8851
85	2410	8802
86	2433	8755
87	2454	8702
88	2475	8651
89	2497	8601
90	2519	8554
91	2542	8510
92	2563	8463
93	2586	8418
94	2607	8372
95	2628	8324
96	2649	8277
97	2671	8233
98	2693	8188
99	2714	8144
100	2737	8103
101	2760	8065
102	2783	8024
103	2804	7982
104	2826	7940
105	2846	7896
106	2868	7854
107	2889	7812
108	2911	7773
109	2934	7735
110	2955	7694
111	2978	7659
112	3002	7625
113	3023	7586
114	3045	7546
115	3066	7506
116	3087	7467
117	3109	7431
118	3131	7394
119	3152	7355
120	3174	7319
121	3195	7282
122	3216	7244
123	3238	7208
124	3260	7173
125	3282	7137
126	3304	7102
127	3326	7068
128	3348	7034
129	3369	6997
130	3390	6962
131	3412	6927
132	3435	6896
133	3457	6864
134	3480	6831
135	3501	6797
136	3522	6762
137	3543	6727
138	3565	6694
139	3587	6661
140	3608	6628
141	3630	6596
142	3652	6563
143	3673	6530
144	3696	6500
145	3718	6469
146	3740	6438
147	3762	6406
148	3783	6373
149	3805	6342
150	3826	6309
151	3847	6277
152	3868	6245
153	3889	6213
154	3911	6182
155	3934	6153
156	3957	6125
157	3979	6094
158	4000	6064
159	4022	6033
160	4043	6002
161	4065	5972
162	4086	5941
163	4108	5912
164	4130	5883
165	4152	5854
166	4176	5827
167	4198	5798
168	4221	5769
169	4243	5740
170	4264	5710
171	4286	5681
172	4308	5652
173	4329	5623
174	4351	5594
175	4372	5564
176	4394	5536
177	4416	5508
178	4439	5480
179	4460	5452
180	4481	5422
181	4502	5393
182	4524	5365
183	4546	5336
184	4567	5308
185	4589	5280
186	4611	5252
187	4635	5226
188	4656	5198
189	4676	5169
190	4698	5141
191	4720	5114
192	4743	5087
193	4763	5058
194	4785	5030
195	4806	5003
196	4827	4974
197	4849	4947
198	4872	4921
199	4893	4893
200	4914	4865
201	4935	4838
202	4956	4810
203	4978	4783
204	5000	4756
205	5022	4729
206	5043	4702
207	5067	4677
208	5093	4654
209	5117	4629
210	5140	4604
211	5167	4582
212	5197	4563
213	5220	4537
214	5241	4510
215	5264	4484
216	5285	4456
217	5307	4430
218	5329	4404
219	5350	4377
220	5372	4351
221	5394	4325
222	5415	4298
223	5437	4272
224	5458	4245
225	5480	4219
226	5501	4193
227	5523	4167
228	5545	4141
229	5569	4116
230	5592	4091
231	5613	4065
232	5634	4038
233	5656	4012
234	5678	3986
235	5700	3961
236	5725	3937
237	5749	3913
238	5773	3889
239	5799	3866
240	5824	3842
241	5847	3817
242	5872	3794
243	5896	3769
244	5919	3744
245	5940	3719
246	5962	3693
247	5983	3667
248	6005	3641
249	6028	3617
250	6050	3591
251	6073	3567
252	6094	3541
253	6116	3515
254	6138	3490
255	6159	3464
256	6183	3440
257	6206	3416
258	6228	3390
259	6252	3366
260	6274	3341
261	6296	3316
262	6317	3290
263	6339	3265
264	6362	3241
265	6384	3216
266	6408	3192
267	6434	3169
268	6458	3145
269	6483	3121
270	6510	3098
271	6535	3075
272	6560	3051
273	6584	3027
274	6608	3003
275	6631	2979
276	6652	2954
277	6673	2928
278	6695	2903
279	6717	2878
280	6740	2854
281	6762	2829
282	6783	2804
283	6805	2779
284	6827	2754
285	6849	2730
286	6871	2705
287	6893	2680
288	6914	2655
289	6937	2631
290	6958	2606
291	6981	2582
292	7001	2557
293	7023	2532
294	7045	2507
295	7067	2483
296	7089	2458
297	7110	2433
298	7132	2409
299	7154	2384
300	7175	2360
301	7198	2335
302	7220	2311
303	7242	2287
304	7263	2262
305	7286	2238
306	7310	2214
307	7332	2190
308	7354	2166
309	7376	2141
310	7398	2117
311	7421	2093
312	7444	2069
313	7465	2044
314	7487	2020
315	7509	1996
316	7530	1971
317	7552	1947
318	7574	1923
319	7595	1898
320	7616	1874
321	7638	1850
322	7660	1826
323	7682	1802
324	7704	1777
325	7727	1754
326	7748	1729
327	7770	1705
328	7792	1681
329	7815	1657
330	7837	1633
331	7859	1609
332	7882	1585
333	7905	1562
334	7927	1538
335	7948	1514
336	7970	1489
337	7991	1465
338	8013	1441
339	8034	1417
340	8055	1393
341	8076	1369
342	8098	1345
343	8121	1322
344	8142	1298
345	8164	1274
346	8186	1250
347	8207	1226
348	8228	1202
349	8249	1178
350	8270	1154
351	8292	1130
352	8314	1107
353	8336	1083
354	8359	1059
355	8382	1036
356	8406	1012
357	8429	988
358	8451	965
359	8473	941
360	8494	917
361	8516	894
362	8538	870
363	8559	846
364	8581	822
365	8606	799
366	8627	775
367	8649	752
368	8670	728
369	8692	704
370	8714	681
371	8735	657
372	8756	633
373	8777	610
374	8799	586
375	8823	563
376	8846	539
377	8868	516
378	8890	492
379	8913	469
380	8936	445
381	8959	422
382	8982	398
383	9005	375
384	9027	351
385	9050	328
386	9072	304
387	9094	281
388	9116	257
389	9138	234
390	9161	210
391	9184	187
392	9205	163
393	9227	140
394	9249	117
395	9271	93
396	9295	70
397	9318	46
398	9339	23
399	9361	0
